title,author,length
Pursued by Peril,Lindsay Buroker,Length: 9 hrs and 20 mins
Except You,Cora Rose,Length: 8 hrs and 12 mins
How to Make a Few Billion Dollars,Brad Jacobs,Length: 5 hrs and 37 mins
Magdalene Nox,Milena McKay,Length: 13 hrs and 12 mins
Gilded Wings,Jaymin Eve,Length: 10 hrs and 13 mins
Mark of the Fool 5,J.M. Clarke,Length: 18 hrs and 30 mins
Valdemar,Mercedes Lackey,Length: 16 hrs and 58 mins
Iron Flame (Part 1 of 2) (Dramatized Adaptation),Rebecca Yarros,Length: 11 hrs
Law,Neven Iliev,Length: 10 hrs and 6 mins
Night Shift,"Evie James,Craig Richards",Length: 11 hrs and 43 mins
Mimic & Me 2,"Cassius Lange,Ryan Tang",Length: 19 hrs and 27 mins
Smolder,Mika Nix,Length: 8 hrs and 16 mins
The Omega Thief,Victoria Sue,Length: 8 hrs and 44 mins
Revelations,D. Petrie,Length: 14 hrs and 18 mins
Bridesmaid for Hire,Meghan Quinn,Length: 13 hrs and 47 mins
Framed,"John Grisham,Jim McCloskey",Length: 12 hrs
The American,Jodi Ellen Malpas,Length: 23 hrs and 8 mins
Childe Roland,J. M. Nelson,Length: 3 hrs and 56 mins
The Witch of Webs,pirateaba,Length: 47 hrs and 18 mins
Wind and Truth,Brandon Sanderson,Length: 55 hrs
The Kingpin,Piper Stone,Length: 9 hrs and 22 mins
The Amish Wife,Gregg Olsen,Length: 10 hrs and 10 mins
On the Same Page,Haley Cass,Length: 16 hrs and 18 mins
Constant Sorrow,"J.N. Chaney,Terry Maggert",Length: 10 hrs and 18 mins
Callis and Toll,David Annandale,Length: 9 hrs and 32 mins
The Wanted,"Jason Anspach,Nick Cole",Length: 13 hrs and 1 min
The Songbird and the Heart of Stone,Carissa Broadbent,Length: 15 hrs and 33 mins
Jake's Magical Market 3,J.R. Mathews,Length: 35 hrs
"Overlord, Vol. 12",Kugane Maruyama,Length: 9 hrs and 6 mins
The Mirror,Nora Roberts,Length: 14 hrs and 24 mins
The Flame of the North,"Alexey Osadchuk,Andrew Douglas Schmitt - translator",Length: 8 hrs and 2 mins
Hell Divers XII: Heroes,Nicholas Sansbury Smith,Length: 13 hrs
Scandal,Piper Stone,Length: 12 hrs and 11 mins
The Lady's Guide to Well-Endowed Dukes,Emmanuelle de Maupassant,Length: 4 hrs and 2 mins
David Baldacci November 2024,David Baldacci,Length: 12 hrs
The Dream Dancers: Akashic Chronicles,Steven P Aitchison,Length: 2 hrs and 56 mins
Global DifFusion,Jonathan Brooks,Length: 20 hrs and 39 mins
"Reborn: Apocalypse, Volume 4",L M Kerr,Length: 22 hrs and 33 mins
Capture or Kill,"Vince Flynn,Don Bentley",Length: 9 hrs and 30 mins
The Shattered Path,Edward W. Robertson,Length: 18 hrs and 40 mins
The Small and the Mighty,Sharon McMahon,Length: 10 hrs
Passions in Death,J. D. Robb,Length: 12 hrs and 51 mins
Raising Mentally Strong Kids,"Daniel G. Amen M.D.,Charles Fay Ph.D",Length: 11 hrs and 17 mins
Shadow of Doubt,Brad Thor,Length: 11 hrs and 30 mins
The Fetters of Fate,T.C. Edge,Length: 46 hrs and 7 mins
Now or Never,Janet Evanovich,Length: 8 hrs
We Who Wrestle with God,Jordan B. Peterson,Length: 13 hrs
Stay with Me,"Brooke Montgomery,Brooke Cumberland",Length: 11 hrs and 19 mins
Nuclear War,Annie Jacobsen,Length: 11 hrs and 19 mins
Scavengers,Brian J. Nordon,Length: 21 hrs and 58 mins
Swamp Spies,Jana DeLeon,Length: Not Yet Known
Rise of the Weakest Healer 2,Blake Alexander,Length: 10 hrs and 34 mins
In the Shadow of Victory,J.E. Leak,Length: 9 hrs and 52 mins
The Black Bird Oracle,Deborah Harkness,Length: 17 hrs
All the Skills 4: A Deck-Building LitRPG,Honour Rae,Length: 14 hrs and 26 mins
Dungeon Life 2,Khenal,Length: 15 hrs and 5 mins
Cursed Fae,Brogan Thomas,Length: 7 hrs and 30 mins
The Waiting,Michael Connelly,Length: 12 hrs
You Are the Way,"Elmer O. Locker Jr.,Fabio Mantegna",Length: 7 hrs and 1 min
You Like It Darker,Stephen King,Length: 20 hrs
Lies I Taught in Medical School,Robert Lufkin MD,Length: 7 hrs
Tarot's Ninth Harbinger,A. F. Kay,Length: 17 hrs and 27 mins
The Zero Percent,Du'Vaul Dey,Length: 8 hrs
Threads of Fate,Luke Chmilenko,Length: 21 hrs and 40 mins
The New Menopause,Mary Claire Haver MD,Length: 11 hrs
Amelia the Level Zero Hero 3: A LitRPG Adventure,V.A. Lewis,Length: 11 hrs and 8 mins
Avenging Angel,Kristen Ashley,Length: 11 hrs and 16 mins
Red Sky Mourning,Jack Carr,Length: 15 hrs and 30 mins
Recon,Craig Alanson,Length: 17 hrs and 53 mins
Ember,"Jeffrey Wilson,Brian Andrews",Length: 13 hrs and 30 mins
Diary of a Wimpy Kid: Hot Mess,Jeff Kinney,Length: 4 hrs and 45 mins
"Mushoku Tensei: Jobless Reincarnation, Vol. 13",理不尽な孫の手,Length: 9 hrs and 8 mins
Tower of Silence,Larry Correia,Length: 16 hrs and 1 min
"Nailmaker: The Reaper, an Isekai LitRPG",A. Bel,Length: 10 hrs and 45 mins
The Lies in the Falls,Elle Gray,Length: 7 hrs and 19 mins
The Wealth Money Can't Buy,Robin Sharma,Length: 7 hrs
Own Me,K. A. Tucker,Length: 9 hrs and 23 mins
The Dead Letter Delivery,C.J. Archer,Length: 7 hrs and 53 mins
The Power Foods Diet,"Neal Barnard,Dustin Harder,Lindsay S Nixon",Length: 5 hrs and 26 mins
Dead and Buried,John Carson,Length: 6 hrs and 59 mins
In Too Deep,"Lee Child,Andrew Child",Length: 10 hrs
Legend of the Arch Magus: Publisher's Pack 6,Michael Sisa,Length: 14 hrs and 40 mins
"The Saint's Magic Power Is Omnipotent, Vol. 8",Yuka Tachibana,Length: 4 hrs and 48 mins
Shadowblade,"Terry Mancour,Emily Burch Harris",Length: 20 hrs and 13 mins
Close to Death,Anthony Horowitz,Length: 9 hrs and 12 mins
Far from the Tree,Jeannie Peneaux,Length: 12 hrs and 53 mins
The Thief,Dannika Dark,Length: 10 hrs and 35 mins
Just for the Summer,Abby Jimenez,Length: 11 hrs and 43 mins
The Renegade Akseli Cyborg,Dianne Duvall,Length: 12 hrs and 21 mins
Storms and Secrets,Claire Kingsley,Length: 10 hrs and 41 mins
Sick Wicked Love,"Rachel Jonas,Nikki Thorne",Length: 8 hrs and 20 mins
City in Ruins,Don Winslow,Length: 8 hrs and 57 mins
A Tail's Misfortune,SME,Length: 21 hrs and 4 mins
J.L. Carr: A Month in the Country and The Harpole Report,J.L. Carr,Length: 3 hrs and 30 mins
Disquiet Gods,Christopher Ruocchio,Length: 26 hrs and 15 mins
Leather & Lark,Brynne Weaver,Length: Not Yet Known
Whispers of Ruin,Brenda K. Davies,Length: 8 hrs and 24 mins
Age of Revolutions,Fareed Zakaria,Length: 12 hrs and 40 mins
The Algebra of Wealth,Scott Galloway,Length: 10 hrs
Crown,Nicoli Gonnella,Length: 22 hrs and 6 mins
After 1177 B.C.,Eric H. Cline,Length: 9 hrs and 18 mins
Illicit Desires,Ashley James,Length: 10 hrs and 5 mins
Winter Lost,Patricia Briggs,Length: 11 hrs
Home Grown Talent,"Joanna Chambers,Sally Malcolm",Length: 10 hrs and 23 mins
Betrayal Road,Christine Feehan,Length: 11 hrs and 15 mins
Legacy of Empire,"J.N. Chaney,Rick Partlow",Length: 10 hrs and 16 mins
The Almost Romantic,Lauren Blakely,Length: 8 hrs and 7 mins
"Reborn as a Space Mercenary: I Woke Up Piloting the Strongest Starship!, Vol. 8",Ryuto,Length: 6 hrs and 33 mins
Avatar,Seth Ring,Length: 14 hrs
Sylver Seeker 3,Kennit Kenway,Length: 22 hrs and 42 mins
We Solve Murders,Richard Osman,Length: 14 hrs
The End of Everything,Victor Davis Hanson,Length: 15 hrs
The Legend of Randidly Ghosthound 6: A LitRPG Adventure,"Noret Flood,puddles4263",Length: 26 hrs and 16 mins
Good Energy,Casey Means MD,Length: 9 hrs
Takeover,Timothy W. Ryback,Length: 11 hrs and 6 mins
Red Dead's History,Tore C. Olsson,Length: 8 hrs and 30 mins
Shattered Will,"J.N. Chaney,Terry Maggert",Length: 10 hrs and 9 mins
"Work, Retire, Repeat","Teresa Ghilarducci,E. J. Dionne Jr.",Length: 8 hrs and 46 mins
A Calamity of Souls,David Baldacci,Length: 12 hrs
Solo Command: Star Wars Legends (X-Wing),Aaron Allston,Length: 14 hrs
Defiance of the Fall 12,"TheFirstDefier,JF Brink",Length: 26 hrs and 24 mins
Practice for Toby,Amy Bellows,Length: 7 hrs and 19 mins
My Pet Werewolf,James Kaine,Length: 8 hrs and 26 mins
The Boatmen,Jerry Boyd,Length: 9 hrs and 3 mins
Hell Fae Commander,"Lexi C. Foss,J.R. Thorn",Length: 10 hrs and 36 mins
Sociopath,Patric Gagne Ph.D.,Length: 11 hrs and 7 mins
The 24th Hour,"James Patterson,Maxine Paetro",Length: 8 hrs
The City and Its Uncertain Walls,"Haruki Murakami,Philip Gabriel - translator",Length: 15 hrs
My Quiet Blacksmith Life in Another World: Volume 6,Tamamaru,Length: 7 hrs and 18 mins
Children of Dune,Frank Herbert,Length: 16 hrs and 51 mins
The Fury of the Gods,John Gwynne,Length: 15 hrs
Rebel Rising,Rebel Wilson,Length: 10 hrs and 48 mins
Vigor Mortis: Volume 4,"Natalie Maher,Thundamoo",Length: 21 hrs and 37 mins
The Justice,"James Patterson,Aaron Cooley",Length: 2 hrs and 57 mins
Co-Intelligence,Ethan Mollick,Length: 4 hrs and 39 mins
Four Minutes,"Jeffrey Wilson,Brian Andrews",Length: 11 hrs
The Demon of Unrest,Erik Larson,Length: 15 hrs
Mother Faker,Brittanee Nicole,Length: 10 hrs and 13 mins
Demon's Bluff,Kim Harrison,Length: 18 hrs
The Legend of Dave the Villager Books 26-30,Dave Villager,Length: 10 hrs and 43 mins
"I'm in Love with the Villainess, Vol. 5",Inori,Length: 10 hrs and 42 mins
Bloodlust Blues,Luanne Bennett,Length: 8 hrs and 48 mins
Monsters Mayhem & Misfits 2,"Jack Spry,Marcus Sloss",Length: 10 hrs and 2 mins
Heat of the Everflame,Penn Cole,Length: 30 hrs and 52 mins
Camino Ghosts,John Grisham,Length: 9 hrs
Discovering Daniel,"Amir Tsarfati,Rick Yohn - contributor",Length: 6 hrs and 13 mins
A Murder to Remember,Brynn Kelly,Length: 10 hrs and 3 mins
Gravesong,pirateaba,Length: 17 hrs and 48 mins
Magnetic Femininity,Allie Duzett,Length: 12 hrs and 48 mins
Dawnfall,Actus,Length: 11 hrs and 31 mins
Angel of Vengeance,"Douglas Preston,Lincoln Child",Length: 14 hrs
The Bunker at Broken Ridge,Colton Lively,Length: 6 hrs and 34 mins
"Whisper of Iron Omnibus, Books 1-3",Matt Pivots,Length: 21 hrs and 9 mins
"The World's Fastest Level Up, Vol. 2",Nagato Yamata,Length: 5 hrs and 44 mins
Hannah's Children,Catherine Pakaluk,Length: 10 hrs and 7 mins
Long Gone,Denise Swank,Length: 11 hrs and 24 mins
All the Skills 3: A Deck-Building LitRPG,Honour Rae,Length: 15 hrs and 22 mins
Tooth and Nail,Patricia Logan,Length: 10 hrs and 8 mins
Love Life,Matthew Hussey,Length: 12 hrs
Pride and Prejudice,Jane Austen,Length: 11 hrs and 35 mins
"Mushoku Tensei: Jobless Reincarnation, Vol. 12",Rifujin na Magonote,Length: 8 hrs and 26 mins
Endfall,David Estes,Length: 46 hrs and 19 mins
Secrets and Strife: An Isekai LitRPG,SourpatchHero,Length: 18 hrs and 53 mins
Road of Skulls,Josh Reynolds,Length: 12 hrs and 18 mins
The Mage from Nowhere,B.T. Narro,Length: 18 hrs and 42 mins
Is Christianity Good for the World?,"Christopher Hitchens,Douglas Wilson",Length: 1 hr and 24 mins
Hateful Prince,"Meg Anne,K. Loraine",Length: 9 hrs and 24 mins
The Fyodor Dostoyevsky Complete Collection,Fyodor Dostoyevsky,Length: 225 hrs
Mother Hater,Daphne Elliot,Length: 9 hrs and 7 mins
The Mars House,Natasha Pulley,Length: 18 hrs and 31 mins
Brutal Arrangement,Laurelin Paige,Length: 11 hrs and 50 mins
Lazarus: Enmity's Edge,Gary Kloster,Length: 11 hrs and 47 mins
Casandra's Dragon,D E Carlson,Length: 3 hrs and 38 mins
The Laws of Human Nature,Robert Greene,Length: 28 hrs and 26 mins
Fire and Fury,"Christopher Hopper,J.N. Chaney",Length: 13 hrs and 49 mins
The Anxious Generation,Jonathan Haidt,Length: 10 hrs and 32 mins
Reborn as a Demonic Tree 2,XKarnation,Length: 13 hrs and 15 mins
Born of Blood and Ash,Jennifer L. Armentrout,Length: 24 hrs
The Mercy of Gods,James S.A. Corey,Length: 18 hrs and 30 mins
Outlander,Diana Gabaldon,Length: 32 hrs and 38 mins
Rail-Laid Plans,Daniel Schinhofen,Length: 11 hrs and 15 mins
A-Game Poker,"Elliot Roe,Ryan Carter",Length: 6 hrs and 45 mins
The Rip,Holly Craig,Length: 10 hrs and 18 mins
Day Trading Attention,Gary Vaynerchuk,Length: 7 hrs and 45 mins
Dune Messiah,Frank Herbert,Length: 8 hrs and 57 mins
BuyMort: Bull Market Mayhem: How I Cornered the Multiversal Monopoly,"Damien Hanson,Joseph Phelps",Length: 19 hrs and 8 mins
The Surrogate,Penelope Ward,Length: 9 hrs and 52 mins
Leveling Up The World,L. Eclaire,Length: 80 hrs and 15 mins
The David Wolf Mystery Thriller Series: Books 1-4,Jeff Carson,Length: 28 hrs and 16 mins
The World's Fastest Level Up Vol. 3,Nagato Yamata,Length: 6 hrs and 22 mins
Becky Lynch: The Man,Rebecca Quin,Length: 9 hrs and 58 mins
Bad Therapy,Abigail Shrier,Length: 8 hrs and 56 mins
Tempting Promises,Corinne Michaels,Length: 9 hrs and 32 mins
Million-Dollar Habits,Rachel Rodgers,Length: 2 hrs and 3 mins
The Bad Weather Friend,Dean Koontz,Length: 8 hrs and 42 mins
Cold Iron Task,James J. Butcher,Length: 11 hrs
The Baofeng Radio Revolution,Morse Code Publishing,Length: 4 hrs and 20 mins
The Endarkened,Franklin Horton,Length: 9 hrs and 42 mins
Fairy Tale,Stephen King,Length: 24 hrs and 6 mins
Learn Medical Spanish in 30 Days,Emily Montgomery,Length: 6 hrs and 48 mins
Star Wars: The Living Force,John Jackson Miller,Length: 12 hrs
The #1 Lawyer,"James Patterson,Nancy Allen",Length: 13 hrs
Easier Said than Done,Marie James,Length: 7 hrs and 35 mins
God Emperor of Dune,Frank Herbert,Length: 15 hrs and 48 mins
Da Big Dakka,Mike Brooks,Length: 9 hrs and 25 mins
The Housemaid Is Watching,Freida McFadden,Length: 11 hrs and 42 mins
A Thousand Li: The Fourth Stage,Tao Wong,Length: 11 hrs and 9 mins
Stoneheart,Aaron Oster,Length: 13 hrs and 19 mins
Get Better at Anything,Scott H. Young,Length: 7 hrs and 42 mins
Power Moves,Sarah Jakes Roberts,Length: 5 hrs and 33 mins
Not in Love,Ali Hazelwood,Length: 12 hrs and 30 mins
Fate of a Royal,"Meagan Brandy,Amo Jones",Length: 8 hrs and 11 mins
The Chaos Agent,Mark Greaney,Length: 17 hrs and 34 mins
The Total Money Makeover Updated and Expanded,Dave Ramsey,Length: 7 hrs and 17 mins
Star Wars: Temptation of the Force (The High Republic),Tessa Gratton,Length: 12 hrs
Boss of Her,Anna Stone,Length: 8 hrs and 57 mins
Death's End,"Cixin Liu,Ken Liu - translator",Length: 28 hrs and 51 mins
Fourth Wing (Part 2 of 2) (Dramatized Adaptation),Rebecca Yarros,Length: 9 hrs and 22 mins
The Bastard and the Heir,"Eden Finley,Saxon James",Length: 9 hrs and 25 mins
The Fellowship of the Ring,J. R. R. Tolkien,Length: 22 hrs and 38 mins
"Live, Love, Spy",Lexi Blake,Length: 15 hrs and 11 mins
The Spy Coast,Tess Gerritsen,Length: 10 hrs and 23 mins
Realmbreaker,Actus,Length: 9 hrs and 19 mins
Love Springs Eternal,SJ Himes,Length: 12 hrs and 31 mins
Taking Up Space,Karen S. Lynch,Length: 4 hrs and 26 mins
A Death in Cornwall,Daniel Silva,Length: 12 hrs
House of Sky and Breath,Sarah J. Maas,Length: 27 hrs and 42 mins
If You Hate Me,Helena Hunting,Length: 13 hrs and 14 mins
Life Skills for Teens Made Simple,B.A. Knight,Length: 3 hrs and 51 mins
The Exodus Gambit,Glynn Stewart,Length: 11 hrs and 51 mins
Expiration Dates,Rebecca Serle,Length: 6 hrs and 54 mins
Trust Me,Tiffany Patterson,Length: 12 hrs and 29 mins
Sherlock Holmes,"Arthur Conan Doyle,Stephen Fry - introductions",Length: 62 hrs and 52 mins
Countdown,Sean Oswald,Length: 16 hrs and 40 mins
Listen for the Lie,Amy Tintera,Length: 9 hrs and 18 mins
"Neon Genesis Evangelion: ANIMA, Vol. 2",Ikuto Yamashita,Length: 8 hrs and 43 mins
The Mechanics of Lust,Jay Hogan,Length: 10 hrs and 46 mins
Breaking the Habit of Being Yourself,Joe Dispenza,Length: 10 hrs and 49 mins
Reckless,Lauren Roberts,Length: 11 hrs
No Man's Land,Elliott Kay,Length: 18 hrs and 57 mins
"Overlord, Vol. 13","Kugane Maruyama,so-bin - illustrator,Emily Balistrieri - translator",Length: 10 hrs
¡Gracias!,Andrés Manuel López Obrador,Length: 30 hrs and 31 mins
Some People Need Killing,Patricia Evangelista,Length: 11 hrs and 16 mins
Queen of Shadows,Sarah J. Maas,Length: 20 hrs and 43 mins
Funny Story,Emily Henry,Length: 11 hrs and 23 mins
Wind and Truth,Brandon Sanderson,Length: 45 hrs
Morning Star,Pierce Brown,Length: 21 hrs and 50 mins
Golden Son,Pierce Brown,Length: 19 hrs and 3 mins
Fiendish Delights,Helen Harper,Length: 7 hrs and 39 mins
Descent,Marko Kloos,Length: 10 hrs
Little Stranger,Leigh Rivers,Length: 6 hrs and 49 mins
The Well of Ascension,Brandon Sanderson,Length: 28 hrs and 56 mins
Blitz,Devney Perry,Length: 9 hrs
The Beloved,J.R. Ward,Length: 13 hrs and 4 mins
The Pucking Wrong Date,C.R. Jane,Length: 10 hrs
Words of Radiance,Brandon Sanderson,Length: 48 hrs and 13 mins
"Classroom of the Elite, Vol. 10",Syougo Kinugasa,Length: 8 hrs and 47 mins
Blood Money,Peter Schweizer,Length: 7 hrs and 43 mins
Mr. Important,"Lucy Lennox,May Archer",Length: 11 hrs and 47 mins
Illiberal America,Steven Hahn,Length: 17 hrs and 12 mins
A Clash of Kings,George R.R. Martin,Length: 37 hrs and 12 mins
Mind Games,Nora Roberts,Length: 14 hrs and 52 mins
ChatGPT Side Hustles 2024,Alec Rowe,Length: 3 hrs and 47 mins
How the World Made the West,Josephine Quinn,Length: 18 hrs
This Could Be Us,Kennedy Ryan,Length: 12 hrs and 20 mins
Fate of a Faux,"Meagan Brandy,Amo Jones",Length: 8 hrs and 39 mins
House of Earth and Blood,Sarah J. Maas,Length: 27 hrs and 50 mins
A Court of Frost and Starlight,Sarah J. Maas,Length: 6 hrs and 23 mins
